(mm),Specimen 1,Specimen 2,Specimen 3,Specimen 4,Specimen 5,Specimen 6,Specimen 7,Specimen 8,Specimen 9,Specimen 10,Specimen 11,Specimen 12,Specimen 13,Specimen 14,Specimen 15
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.2,5529,5630,8502,9063,6109,6840,6078,6366,5720,5911,7974,7742,7026,11234,6389
9.4,10408,10670,15165,17052,12771,13918,11354,11677,11580,11072,14776,14445,15053,19149,13668
9.6,15408,17114,21778,24016,18449,18962,16953,17107,16845,17009,21520,21451,22615,28927,20308
9.8,20095,22611,27639,31130,23620,25631,22693,22028,22331,21726,29258,27974,29260,40208,26853
10,24532,27826,33771,38309,29401,31047,27584,28406,27868,26764,33970,34905,34113,47200,32167
10.2,28443,31911,38227,44513,33935,36421,31551,35458,34852,30835,39147,40221,40042,53775,37394
10.4,32809,36663,42625,51279,39426,40860,36289,38772,37698,35538,44255,45645,45401,61256,43221
10.6,37677,40717,48138,57501,43674,44494,40076,42981,41620,39911,49328,50097,50602,66926,48296
10.8,41278,43677,51754,62310,47550,48281,44939,46625,45974,44611,54241,54521,56283,71740,54061
11,45554,48219,55857,66887,50734,51405,49370,50138,49485,48799,59208,59175,61232,78748,57831
11.2,49289,52015,59186,72508,54390,55221,51771,52850,53122,52691,64164,62711,65543,83806,61683
11.4,52915,55821,62971,76087,58462,58419,55689,56090,57043,56775,66416,67789,69679,88299,65635
11.6,56647,59305,67272,80581,62009,62686,59289,58753,60572,59935,69488,72326,73004,91532,70563
11.8,59973,62922,71160,84795,66012,65443,63938,61434,64331,62219,74468,76662,76818,94908,74858
12,62912,66225,74486,88597,69589,68281,65835,64655,68097,64836,79411,80613,81533,97943,79202
12.2,65897,69808,78121,92397,73088,70669,68226,68213,70440,68815,83178,83725,84258,101316,83916
12.4,69239,72554,81053,96331,76826,72733,70831,71360,73573,71328,86214,87427,88390,105266,89166
12.6,72070,75042,84315,100245,79862,75322,73592,73885,76380,73730,89322,90661,91960,109233,93816
12.8,75981,77832,86694,103618,84105,78123,77050,77271,81290,77198,93009,95276,95375,112703,96570
13,78678,80858,90341,107198,87886,80163,80305,80928,87584,80641,95884,99304,99959,115740,100835
13.2,81625,85317,92700,111291,90210,83120,83929,84376,89613,83291,99246,102708,103715,120000,105026
13.4,83721,89834,95382,116245,93368,85350,86970,86729,91295,87119,101481,105782,107155,,108189
13.6,87438,93029,97936,120000,96647,87637,90757,88904,94491,90411,104069,109348,109464,,110904
13.8,91474,95872,101285,,99554,90462,94864,91531,96673,93656,106775,112565,111939,,115035
14,94228,98609,104348,,101624,92480,98775,93825,100981,95920,109287,116289,113970,,118975
14.2,96280,101375,108086,,103465,94810,102565,96252,103969,98800,113569,120000,116494,,120000
14.4,98380,104813,110659,,105368,97462,105900,99272,106363,100856,118491,,118392,,
14.6,101707,106847,113771,,106949,100581,109032,101666,108548,102707,120000,,120000,,
14.8,103445,108889,117054,,108415,102873,112132,104149,110544,104230,,,,,
15,106667,110334,120000,,110061,104362,116854,106986,112651,106164,,,,,
15.2,108515,111937,,,111617,106533,117546,109121,114252,107920,,,,,
15.4,110922,113732,,,113360,108265,118375,112879,116241,109247,,,,,
15.6,114006,115563,,,115187,110224,120000,116276,118443,110691,,,,,
15.8,116063,118009,,,117449,112292,,120000,120000,112531,,,,,
16,118221,120000,,,119110,114366,,,,114666,,,,,
16.2,120000,,,,120000,116123,,,,116299,,,,,
16.4,,,,,,117997,,,,118157,,,,,
16.6,,,,,,120000,,,,120000,,,,,
